stop_lat,stop_code,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
37.784097,13837,-122.481659,,3837,,California St & 22nd Ave,0,
37.784551,13830,-122.468963,,3830,,California St & 10th Ave,0,
37.784586,13831,-122.470848,,3831,,California St & 12th Ave,0,
37.784454,13832,-122.471103,,3832,,California St & 12th Ave,0,
37.784386,13833,-122.475229,,3833,,California St & 16th Ave,0,
37.783941,13838,-122.481893,,3838,,California St & 22nd Ave,0,
37.78395,13839,-122.48482,,3839,,California St & 25th Ave,0,
37.792106,14031,-122.422913,,4031,,Clay St & Van Ness Ave,0,
37.793363,14030,-122.412744,,4030,,Clay St & Taylor St,0,
37.753074,14033,-122.455858,,4033,,Clarendon Ave & Galewood Circle,0,
37.75171,14032,-122.45839,,4032,,Clarendon Ave & Clarendon Woods S,0,
37.751628,14035,-122.456178,,4035,,Clarendon Ave & Olympia Way,0,
37.801628,15990,-122.423014,,5990,,Polk St & Lombard St,0,
37.75368,14037,-122.455514,,4037,,Clarendon Ave & Panorama Dr,0,
37.805018,15992,-122.4237,,5992,,Polk St & North Point St,0,
37.78309,14039,-122.45982,,4039,,Clement St & 2nd Ave,0,
37.72739,16792,-122.41439,,6792,,University St & Felton St,0,
37.791741,15999,-122.420827,,5999,,Polk St & Sacramento St,0,
37.77325,14737,-122.46761,,4737,,Fulton St & 10th Ave,0,
37.758409,15663,-122.444055,,5663,,Market St & Clayton St,0,
37.83048,14599,-122.524411,,4599,,Field Rd/Visitor Center,0,
37.767589,15662,-122.428801,,5662,,Market St & Church St,0,
37.767661,15661,-122.428824,,5661,,Market St & Church St,0,
37.706296,17522,-122.413084,,7522,,Geneva Street & Schwerin Street,0,
37.755158,17523,-122.393008,,7523,,Pennsylvania Avenue & 23rd Street,0,
37.709523,17520,-122.404631,,7520,,Not a public stop,0,
37.752463,17526,-122.39277,,7526,,Pennsylvania Avenue & 25th Street,0,
37.755015,17527,-122.392791,,7527,,Pennsylvania Avenue & 23rd Street,0,
37.752624,17524,-122.392758,,7524,,Pennsylvania Avenue & 25th Street,0,
37.752348,17525,-122.394695,,7525,,25th Avenue & Dakota Street,0,
37.76262,15667,-122.43538,,5667,,Market St & 17th St,0,
37.731695,17528,-122.448753,,7528,,Foerster Street & Monterey Blvd,0,
37.803377,17529,-122.423793,,7529,,Francisco Street & Polk Street,0,
37.80234,16329,-122.40294,,6329,,Sansome St & Filbert St,0,
37.76246,15665,-122.435449,,5665,,Market St & Castro St,0,
37.802988,16653,-122.40664,,6653,,225 TELEGRAPH Hill Blvd,0,
37.74845,16143,-122.47943,,6143,,Quintara St & 22nd Ave,0,
37.74855,16142,-122.47917,,6142,,Quintara St & 22nd Ave,0,
37.74858,16141,-122.47622,,6141,,Quintara St & 19th Ave,0,
37.72119,1390,-122.475096,,390,,19th Avenue & Holloway St,0,
37.748277,16147,-122.483469,,6147,,Quintara St & 26th Ave,0,
37.74838,16146,-122.48345,,6146,,Quintara St & 26th Ave,0,
37.74836,16145,-122.48157,,6145,,Quintara St & 24th Ave,0,
37.74846,16144,-122.48131,,6144,,Quintara St & 24th Ave,0,
37.74822,16149,-122.48477,,6149,,Quintara St & 27th Ave,0,
37.74832,16148,-122.48458,,6148,,Quintara St & 27th Ave,0,
37.75268,14345,-122.39468,,4345,,Dakota St & 25th St,0,
37.79687,16781,-122.43714,,6781,,Union St & Steiner St,0,
37.798683,16780,-122.42243,,6780,,Union St & Polk St,0,
37.799895,16783,-122.414025,,6783,,Union St & Taylor St,0,
37.800366,16782,-122.409267,,6782,,Union St & Stockton St,0,
37.805118,14729,-122.432185,,4729,,Marina Blvd & Laguna St,0,
37.83238,14728,-122.53867,,4728,,Fort Cronkhite Parking Lot,0,
37.798469,16787,-122.42415,,6787,,Union St & Van Ness Ave,0,
37.798585,16786,-122.424241,,6786,,Union St & Van Ness Ave,0,
37.791645,14725,-122.398151,,4725,,Fremont St & Market St,0,
37.72514,16788,-122.41354,,6788,,University St & Bacon St,0,
37.793918,14727,-122.393438,,4727,,Don Chee Way/Steuart St,0,
37.794052,14726,-122.393449,,4726,,Don Chee Way/Steuart St,0,
37.766092,14720,-122.454701,,4720,,Frederick St & Willard St,0,
37.796378,15847,-122.411619,,5847,,Pacific Ave & Mason St,0,
37.795586,15846,-122.416744,,5846,,Pacific Ave & Leavenworth St,0,
37.795755,15845,-122.416549,,5845,,Pacific Ave & Leavenworth St,0,
37.795149,15844,-122.420035,,5844,,Pacific Ave & Larkin St,0,
37.795328,15843,-122.419863,,5843,,Pacific Ave & Larkin St,0,
37.79717,15842,-122.405222,,5842,,Pacific Ave & Kearny St,0,
37.795791,15841,-122.415105,,5841,,Pacific Ave & Jones St,0,
37.79596,15840,-122.41491,,5840,,Pacific Ave & Jones St,0,
37.797393,15849,-122.403582,,5849,,Pacific Ave & Montgomery St,0,
37.796209,15848,-122.411814,,5848,,Pacific Ave & Mason St,0,
37.7513,13748,-122.40907,,3748,,Bryant St & 25th St,0,
37.75111,13749,-122.40889,,3749,,Bryant St & 25th St,0,
37.752907,13746,-122.409086,,3746,,Bryant St & 24th St,0,
37.752728,13747,-122.409178,,3747,,Bryant St & 24th St,0,
37.75431,13744,-122.40919,,3744,,Bryant St & 23rd St,0,
37.75415,13745,-122.40932,,3745,,Bryant St & 23rd St,0,
